season,team,name,age,g,gs,mp,fgperc,reb,ast,stl,blk,tov,ptsg,ws,sal
2005,LAL,Kobe Bryant,27,80,80,41,0.44999999,5.3000002,4.5,1.8,0.40000001,3.0999999,35.400002,15.3,15.946875
2005,PHI,Allen Iverson,30,72,72,43.099998,0.447,3.2,7.4000001,1.9,0.1,3.4000001,33,10.6,16.453125
2002,ORL,Tracy McGrady,23,75,74,39.400002,0.45699999,6.5,5.5,1.7,0.80000001,2.5999999,32.099998,16.1,12.0725
2013,OKC,Kevin Durant,25,81,81,38.5,0.50300002,7.4000001,5.5,1.3,0.69999999,3.5,32,19.200001,17.832627
2006,LAL,Kobe Bryant,28,77,77,40.799999,0.463,5.6999998,5.4000001,1.4,0.5,3.3,31.6,13,17.71875
2005,CLE,LeBron James,21,79,79,42.5,0.47999999,7,6.5999999,1.6,0.80000001,3.3,31.4,16.299999,4.6218
2001,PHI,Allen Iverson,26,60,59,43.700001,0.398,4.5,5.5,2.8,0.2,4,31.4,6.9000001,11.25
2000,PHI,Allen Iverson,25,71,71,42,0.41999999,3.8,4.5999999,2.5,0.30000001,3.3,31.1,11.8,10.13
2004,PHI,Allen Iverson,29,75,75,42.299999,0.42399999,4,7.9000001,2.4000001,0.1,4.5999999,30.700001,9,14.625
1995,CHI,Michael Jordan,32,82,82,37.700001,0.495,6.5999999,4.3000002,2.2,0.5,2.4000001,30.4,20.4,3.85
2008,MIA,Dwyane Wade,27,79,79,38.599998,0.491,5,7.5,2.2,1.3,3.4000001,30.200001,14.7,14.410581
2015,GSW,Stephen Curry,27,79,79,34.200001,0.50400001,5.4000001,6.6999998,2.0999999,0.2,3.3,30.1,17.9,11.370786
2009,OKC,Kevin Durant,21,82,82,39.5,0.47600001,7.5999999,2.8,1.4,1,3.3,30.1,16.1,4.79688
2007,CLE,LeBron James,23,75,74,40.400002,0.484,7.9000001,7.1999998,1.8,1.1,3.4000001,30,15.2,13.04125
2002,LAL,Kobe Bryant,24,82,82,41.5,0.45100001,6.9000001,5.9000001,2.2,0.80000001,3.5,30,14.9,12.375
2000,DET,Jerry Stackhouse,26,80,80,40.200001,0.40200001,3.9000001,5.0999999,1.2,0.69999999,4.0999999,29.799999,9.1999998,5.31
2009,CLE,LeBron James,25,76,76,39,0.50300002,7.3000002,8.6000004,1.6,1,3.4000001,29.700001,18.5,15.779912
1999,LAL,Shaquille O'Neal,27,79,79,40,0.574,13.6,3.8,0.5,3,2.8,29.700001,18.6,17.142858
1996,CHI,Michael Jordan,33,82,82,37.900002,0.486,5.9000001,4.3000002,1.7,0.5,2,29.6,18.299999,30.14
2005,WAS,Gilbert Arenas,24,80,80,42.299999,0.447,3.5,6.0999999,2,0.30000001,3.7,29.299999,13.6,10.2432
2015,HOU,James Harden,26,82,82,38.099998,0.43900001,6.0999999,7.5,1.7,0.60000002,4.5999999,29,13.3,15.756438
2006,DEN,Carmelo Anthony,22,65,65,38.200001,0.47600001,6,3.8,1.2,0.40000001,3.5999999,28.9,7.3000002,4.694041
2012,NYK,Carmelo Anthony,28,67,67,37,0.449,6.9000001,2.5999999,0.80000001,0.5,2.5999999,28.700001,9.5,19.45
1997,CHI,Michael Jordan,34,82,82,38.799999,0.465,5.8000002,3.5,1.7,0.5,2.3,28.700001,15.8,33.14
2000,LAL,Shaquille O'Neal,28,74,74,39.5,0.57200003,12.7,3.7,0.60000002,2.8,2.9000001,28.700001,14.9,19.285715
2000,LAL,Kobe Bryant,22,68,68,40.900002,0.46399999,5.9000001,5,1.7,0.60000002,3.2,28.5,11.3,10.13
2008,CLE,LeBron James,24,81,81,37.700001,0.48899999,7.5999999,7.1999998,1.7,1.1,3,28.4,20.299999,14.410581
2006,WAS,Gilbert Arenas,25,74,73,39.799999,0.41800001,4.5999999,6,1.9,0.2,3.2,28.4,10.8,11.0968
1999,PHI,Allen Iverson,24,70,70,40.799999,0.421,3.8,4.6999998,2.0999999,0.1,3.3,28.4,6.9000001,9
1997,LAL,Shaquille O'Neal,25,60,57,36.299999,0.58399999,11.4,2.4000001,0.69999999,2.4000001,2.9000001,28.299999,10.2,12.857143
2007,LAL,Kobe Bryant,29,82,82,38.900002,0.45899999,6.3000002,5.4000001,1.8,0.5,3.0999999,28.299999,13.8,19.490625
2015,OKC,Kevin Durant,27,72,72,35.799999,0.505,8.1999998,5,1,1.2,3.5,28.200001,14.5,20.158622
2009,DEN,Carmelo Anthony,25,69,69,38.200001,0.458,6.5999999,3.2,1.3,0.40000001,3,28.200001,7.9000001,15.779912
2014,OKC,Russell Westbrook,26,67,67,34.400002,0.426,7.3000002,8.6000004,2.0999999,0.2,4.4000001,28.1,10.6,15.719062
2012,OKC,Kevin Durant,24,81,81,38.5,0.50999999,7.9000001,4.5999999,1.4,1.3,3.5,28.1,18.9,16.66963
2011,OKC,Kevin Durant,23,66,66,38.599998,0.49599999,8,3.5,1.3,1.2,3.8,28,12.2,15.506632
2003,ORL,Tracy McGrady,24,67,67,39.900002,0.417,6,5.5,1.4,0.60000002,2.7,28,8.3999996,13.27975
2011,LAL,Kobe Bryant,33,58,58,38.5,0.43000001,5.4000001,4.5999999,1.2,0.30000001,3.5,27.9,6.1999998,25.244493
2010,OKC,Kevin Durant,22,78,78,38.900002,0.46200001,6.8000002,2.7,1.1,1,2.8,27.700001,12,6.053663
2000,TOR,Vince Carter,24,75,75,39.700001,0.46000001,5.5,3.9000001,1.5,1.1,2.2,27.6,12.9,2.42544
2004,LAL,Kobe Bryant,26,66,66,40.700001,0.433,5.9000001,6,1.3,0.80000001,4.0999999,27.6,8.1000004,14.175
2002,PHI,Allen Iverson,27,82,82,42.5,0.414,4.1999998,5.5,2.7,0.2,3.5,27.6,9.1999998,12.375
