pid,gender,year,age,school,marriage,income,job,relig,pet,cell,cellnum,featurephone,smartphone,kidsphone,smart_or_not,tablet,tabletnum,wearable,wearablenum,phonebill,payapp,inapp_pay,theater,theaterpay,play,playpay,OTT,OTT_phone,OTT_tablet,OTT_PC,OTT_others,OTT_freq,OTT_hour,OTT_min,Newspaper,email,messanger,blog,cloud,SNS
10001,1,1967,52,5,2,11,1,2,2,1,1,0,1,0,4,2, ,2, ,75,2,1,6,60,2,80,2, , , , , , , ,1,1,1,1,1,1
10002,2,1972,47,5,2,1,2,2,2,1,1,0,1,0,4,2, ,2, ,58,2,1,10,100,4,110,2, , , , , , , ,1,1,1,1,1,1
20001,1,1965,54,5,2,11,1,2,2,1,1,0,1,0,3,2, ,2, ,34,2,2,0, ,0, ,1,1,2,2,2,1,0,30,1,1,1,2,2,1
30001,1,1971,48,5,2,9,1,2,1,1,1,0,1,0,2,2, ,2, ,32,2,1,2,14,0, ,2, , , , , , , ,1,1,1,2,2,2
30002,2,1974,45,4,2,1,2,2,1,1,1,0,1,0,2,2, ,2, ,38,2,1,2,14,0, ,1,1,2,1,2,1,0,20,2,1,1,2,2,2
30003,1,2002,17,4,1,1,2,2,1,1,1,0,1,0,2,2, ,2, ,43,2,2,2,12,0, ,1,1,2,1,2,1,0,30,2,1,1,2,2,2
30004,1,2008,11,2,1,1,2,2,1,1,1,0,0,1, ,2, ,2, ,6,2,2,2,12,0, ,2, , , , , , , ,2,2,2,2,2,2
40002,2,1976,43,5,2,6,1,1,2,1,1,0,1,0,2,2, ,2, ,86,2,2,4,28,0, ,2, , , , , , , ,2,1,1,2,2,2
40003,1,2006,13,3,1,1,2,1,2,1,1,0,1,0,2,2, ,2, ,20,2,2,3,20,0, ,2, , , , , , , ,2,1,1,2,2,2
40004,2,2007,12,2,1,1,2,1,2,1,1,0,1,0,2,2, ,2, ,20,2,2,3,20,0, ,2, , , , , , , ,2,2,1,2,2,2
50001,1,1972,47,5,2,14,1,1,2,2, , , , , ,2, ,2, , , , ,3,21,0, ,2, , , , , , , ,1,1,1,2,2,2
50002,2,1977,42,5,2,1,2,2,2,1,1,0,1,0,2,2, ,2, ,25,2,2,3,21,0, ,2, , , , , , , ,1,1,1,2,2,2
50003,2,2006,13,3,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,19,2,2,4,23,1,10,2, , , , , , , ,2,1,1,2,2,2
50004,2,2007,12,2,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,19,2,2,3,18,0, ,2, , , , , , , ,2,1,1,2,2,2
60001,1,1969,50,5,2,10,1,2,2,1,1,0,1,0,2,2, ,2, ,33,2,1,13,84,1,0,2, , , , , , , ,1,1,1,2,2,2
60002,2,1973,46,4,2,4,1,2,2,1,1,0,1,0,2,2, ,2, ,60,2,2,6,0,1,0,2, , , , , , , ,1,1,1,2,1,2
60003,2,2001,18,4,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,33,2,2,4,8,0, ,2, , , , , , , ,2,1,1,1,2,1
60004,2,2006,13,3,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,40,2,2,12,0,1,0,2, , , , , , , ,2,1,1,2,2,1
80001,1,1950,69,4,3,1,2,2,2,1,1,1,0,0, ,2, ,2, ,15, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
90001,1,1963,56,5,2,6,1,1,2,1,1,0,1,0,3,2, ,2, ,34,2,2,0, ,0, ,1,1,2,2,2,5,2,0,2,2,1,2,2,2
100001,1,1979,40,5,2,8,1,1,2,1,1,0,1,0,2,2, ,1,1,69,2,2,2,24,1,14,1,1,2,1,2,2,1,0,1,1,1,1,1,1
100002,2,1979,40,6,2,8,1,1,2,1,1,0,1,0,2,2, ,2, ,53,2,2,2,22,0, ,2, , , , , , , ,1,1,1,2,2,1
100003,1,2010,9,2,1,1,2,1,2,1,1,0,1,0,2,2, ,2, ,19,2,2,2,16,0, ,2, , , , , , , ,2,2,2,2,2,2
120001,1,1966,53,4,2,6,1,1,1,1,1,0,1,0,3,1,1,2, ,42,2,2,2,22,0, ,2, , , , , , , ,1,1,1,2,1,1
120002,2,1966,53,4,2,4,1,2,1,1,1,0,1,0,3,2, ,2, ,32,2,2,3,30,0, ,2, , , , , , , ,1,1,1,2,1,1
120003,1,1991,28,5,1,7,1,2,1,1,1,0,1,0,3,2, ,2, ,45,2,2,3,33,0, ,1,1,2,2,2,5,1,0,1,1,1,2,1,2
120004,2,1993,26,5,1,2,2,2,1,1,1,0,1,0,3,2, ,2, ,45,2,2,4,44,1,25,2, , , , , , , ,1,1,1,2,1,2
130001,1,1947,72,3,2,3,2,2,2,1,1,0,1,0,3,2, ,2, ,25,2,2,0, ,0, ,2, , , , , , , ,1,2,1,2,2,2
130002,2,1950,69,3,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,28,2,2,0, ,0, ,2, , , , , , , ,1,2,1,2,2,2
140001,2,1962,57,4,3,5,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,2,20,0, ,2, , , , , , , ,2,2,1,2,2,2
160001,1,1951,68,3,2,4,1,1,2,1,1,0,1,0,3,2, ,2, ,35,2,2,1,10,0, ,2, , , , , , , ,1,2,1,2,2,2
160002,2,1952,67,3,2,2,2,1,2,1,1,0,1,0,3,2, ,2, ,4,2,2,0, ,0, ,2, , , , , , , ,1,2,1,2,2,2
180001,2,1967,52,4,4,4,1,1,2,1,1,0,1,0,3,2, ,2, ,38,2,2,3,35,0, ,2, , , , , , , ,1,2,1,2,2,2
220001,1,1952,67,4,2,5,1,2,2,1,1,0,1,0,3,2, ,2, ,95,2,2,2,20,1,40,2, , , , , , , ,2,2,1,2,2,2
220002,2,1954,65,4,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,80,2,2,3,30,1,40,2, , , , , , , ,2,2,1,2,2,2
230001,1,1961,58,5,2,8,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,1,3,30,1,50,2, , , , , , , ,2,1,2,2,2,2
230002,2,1955,64,4,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,85,2,2,3,30,1,50,2, , , , , , , ,2,1,1,2,2,2
250002,1,1974,45,5,1,6,1,2,1,1,1,0,1,0,3,2, ,2, ,85,2,2,2,20,0, ,2, , , , , , , ,2,1,1,2,2,1
260001,1,1961,58,5,2,7,1,2,2,1,1,0,1,0,3,2, ,2, ,90,2,2,2,20,1,60,2, , , , , , , ,2,1,1,2,2,2
260002,2,1963,56,4,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,85,2,2,2,20,1,40,2, , , , , , , ,2,1,1,2,2,2
270001,1,1954,65,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,30,2,2,1,10,0, ,2, , , , , , , ,2,2,1,2,2,2
270002,2,1966,53,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,85,2,2,2,20,0, ,2, , , , , , , ,2,1,1,2,2,2
290001,2,1955,64,4,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
290002,1,1962,57,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,42,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
290003,2,1985,34,5,1,6,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,1,3,30,0, ,2, , , , , , , ,2,1,1,2,2,1
300001,2,1963,56,4,3,5,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
300002,2,1990,29,5,1,5,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,2,20,0, ,1,1,2,2,2,4,0,10,2,1,1,2,2,1
300003,2,1987,32,5,1,5,1,2,2,1,1,0,1,0,3,2, ,2, ,50,2,2,2,20,0, ,1,1,2,2,2,5,0,10,2,1,1,2,2,1
300004,1,1989,30,4,1,5,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,0, ,0, ,2, , , , , , , ,2,1,1,2,2,2
310001,1,1959,60,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,0, ,0, ,1,1,2,2,2,5,0,10,2,2,1,2,2,2
310002,2,1963,56,4,2,5,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
310003,2,1992,27,5,1,6,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,3,25,0, ,1,1,2,2,2,4,0,20,2,1,1,2,1,1
310004,2,1994,25,5,1,5,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,3,25,0, ,1,1,2,2,2,4,0,10,2,1,1,2,2,1
320001,1,1936,83,2,2,2,2,2,2,2, , , , , ,2, ,2, , , , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
320002,2,1937,82,2,2,2,2,2,2,1,1,1,0,0, ,2, ,2, ,25,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
320003,1,1971,48,4,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,40,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
330001,2,1939,80,2,3,2,2,2,2,1,1,1,0,0, ,2, ,2, ,23, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
340001,1,1964,55,5,2,5,1,2,2,1,1,1,0,0, ,2, ,2, ,30, , ,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
340002,2,1966,53,4,2,3,1,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
340003,1,1991,28,5,1,5,1,2,2,1,1,0,1,0,3,2, ,2, ,45,2,2,0, ,0, ,2, , , , , , , ,2,1,1,2,2,1
340004,1,1997,22,5,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,2,20,0, ,1,1,2,2,2,5,0,10,2,1,1,2,2,1
350001,1,1955,64,4,2,3,2,2,2,1,1,0,1,0,3,2, ,2, ,35,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
350002,1,1987,32,5,1,7,1,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,2,20,0, ,2, , , , , , , ,2,1,1,2,1,2
350003,2,1954,65,4,2,1,2,2,2,1,1,0,1,0,2,2, ,2, ,35,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
360001,1,1972,47,5,2,8,1,2,2,1,1,0,1,0,3,2, ,2, ,45,2,2,4,40,0, ,2, , , , , , , ,1,2,1,2,2,2
360002,2,1977,42,5,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,40,2,2,4,40,1,30,2, , , , , , , ,1,2,1,2,2,2
370001,1,1969,50,5,2,8,1,2,2,1,1,0,1,0,3,2, ,2, ,45,2,2,4,40,0, ,2, , , , , , , ,1,2,1,2,2,2
370002,2,1969,50,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,35,2,2,4,40,0, ,2, , , , , , , ,1,2,1,2,2,2
380001,1,1977,42,5,2,10,1,2,2,1,1,0,1,0,4,2, ,2, ,65,2,1,4,44,2,60,2, , , , , , , ,1,1,1,1,2,2
380002,2,1979,40,6,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,50,2,2,4,44,1,30,2, , , , , , , ,1,1,1,1,2,1
390001,2,1968,51,4,2,1,2,1,2,1,1,0,1,0,3,2, ,2, ,65,2,2,8,80,0, ,2, , , , , , , ,1,1,1,2,2,1
390002,2,1994,25,5,1,5,1,1,2,1,1,0,1,0,2,1,1,2, ,34,2,2,3,30,0, ,2, , , , , , , ,1,1,1,2,2,1
390003,1,1997,22,5,1,1,2,1,2,1,1,0,1,0,3,2, ,2, ,45,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,1
390004,1,1967,52,5,2,12,1,1,2,1,1,0,1,0,3,2, ,2, ,45,2,2,8,80,0, ,2, , , , , , , ,1,1,1,2,2,2
400001,1,1957,62,4,2,6,1,1,2,1,1,0,1,0,2,2, ,2, ,39,2,2,0, ,0, ,2, , , , , , , ,2,1,1,2,2,2
400002,2,1961,58,3,2,6,1,1,2,1,1,0,1,0,2,2, ,2, ,42,2,2,0, ,0, ,2, , , , , , , ,1,1,1,2,2,2
410002,2,1965,54,4,4,1,2,1,2,1,1,0,1,0,4,2, ,2, ,45,2,2,0, ,0, ,2, , , , , , , ,1,1,1,2,2,1
410003,2,2004,15,3,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,35,2,2,15,10,0, ,2, , , , , , , ,2,1,1,2,2,1
420001,1,1980,39,4,2,7,1,1,2,1,1,0,1,0,3,1,1,2, ,65,2,2,0, ,0, ,2, , , , , , , ,2,1,2,2,2,2
420002,2,1980,39,4,2,1,2,2,2,1,1,0,1,0,3,1,1,2, ,75,2,2,0, ,0, ,2, , , , , , , ,2,1,2,2,2,2
420003,1,2007,12,2,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,25,2,2,0, ,0, ,2, , , , , , , ,2,1,1,2,2,2
430001,1,1981,38,4,2,8,1,2,2,1,1,0,1,0,2,2, ,2, ,65,2,2,0, ,0, ,2, , , , , , , ,1,1,1,2,2,2
430002,2,1981,38,4,2,4,1,2,2,1,1,0,1,0,2,2, ,2, ,65,2,2,0, ,0, ,1,1,2,2,2,5,2,0,2,1,1,2,2,2
430003,1,2009,10,2,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,18,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
430004,1,2011,8,2,1,1,2,2,2,1,1,0,1,0,2,2, ,2, ,18,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
440001,1,1962,57,5,2,1,2,2,2,1,1,0,1,0,2,2, ,2, ,22,2,2,1,10,0, ,2, , , , , , , ,1,2,1,2,2,2
440002,2,1965,54,4,2,1,2,2,2,1,1,0,1,0,1,2, ,2, ,36,2,2,1,10,0, ,2, , , , , , , ,2,2,1,2,2,2
440003,2,1990,29,5,1,5,1,2,2,1,1,0,1,0,2,1,2,2, ,50,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,2
440004,2,1993,26,5,1,5,1,2,2,1,1,0,1,0,4,2, ,2, ,53,2,1,3,30,0, ,2, , , , , , , ,2,1,1,2,2,1
450001,1,1975,44,4,2,11,1,1,2,1,1,0,1,0,3,2, ,1,1,50,2,2,1,0,0, ,1,1,2,2,2,1,2,0,2,1,2,2,2,1
450002,2,1977,42,4,2,1,2,1,2,1,1,0,1,0,2,2, ,1,1,38,2,2,0, ,0, ,1,1,2,2,2,2,1,0,2,1,2,2,2,1
450003,2,2006,13,3,1,1,2,1,2,1,1,0,1,0,2,2, ,2, ,30,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,1
450004,2,2006,13,3,1,1,2,1,2,1,1,0,1,0,3,2, ,2, ,30,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,1
450005,2,2008,11,2,1,1,2,1,2,1,1,0,1,0,2,2, ,2, ,18,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
460001,1,1972,47,5,2,7,1,2,2,1,1,0,1,0,3,2, ,2, ,65,2,2,5,50,1,50,2, , , , , , , ,1,1,1,2,2,2
460002,2,1976,43,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,55,2,2,6,60,2,75,2, , , , , , , ,2,1,1,2,2,2
470001,1,1962,57,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,65,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,1
470002,2,1936,83,2,4,1,2,1,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
470003,2,1969,50,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,55,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,2
480001,1,1940,79,3,2,5,1,2,2,1,1,1,0,0, ,2, ,2, ,30, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
480002,2,1946,73,3,2,1,2,2,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
490001,2,1964,55,4,2,5,1,2,2,1,1,0,1,0,2,2, ,2, ,60,2,2,2,25,0, ,2, , , , , , , ,2,2,1,2,2,2
490003,1,1995,24,5,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,5,50,1,70,2, , , , , , , ,1,1,1,2,2,1
500001,2,1961,58,4,4,4,1,2,2,1,1,0,1,0,3,2, ,2, ,60,2,2,2,30,0, ,2, , , , , , , ,1,2,1,2,2,1
510001,2,1944,75,2,3,6,1,1,2,1,1,1,0,0, ,2, ,2, ,26, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
520001,1,1961,58,4,2,6,1,2,2,1,1,0,1,0,3,1,1,2, ,65,2,2,2,20,0, ,2, , , , , , , ,1,2,1,2,2,1
520002,2,1972,47,4,2,1,2,2,2,1,1,0,1,0,3,1,1,2, ,58,2,2,3,35,1,50,2, , , , , , , ,1,2,1,2,2,2
